date,sku,desc,category,units_sold,revenue,cogs,gross_margin,event_id,channel,location
2025-08-02,SKU001,Branded Pen - Black,Promotional,12,24.00,6.00,18.00,EVT001,Walk-in,in_store
2025-08-02,SKU003,T-Shirt Large Logo,Apparel,3,75.00,24.00,51.00,EVT001,Walk-in,in_store
2025-08-02,SKU005,Coffee Mug Ceramic,Promotional,8,96.00,26.00,70.00,EVT001,Walk-in,in_store
2025-08-03,SKU001,Branded Pen - Black,Promotional,5,10.00,2.50,7.50,,Online,
2025-08-03,SKU002,Small Shipping Box 10x8x6,Packaging,15,52.50,18.75,33.75,,Bulk,back_of_store
2025-08-04,SKU001,Branded Pen - Black,Promotional,8,16.00,4.00,12.00,,Walk-in,in_store
2025-08-04,SKU004,Bubble Wrap Roll 12inch,Packaging,2,70.00,30.00,40.00,,Bulk,back_of_store
2025-08-05,SKU003,T-Shirt Large Logo,Apparel,2,50.00,16.00,34.00,,Walk-in,in_store
2025-08-05,SKU005,Coffee Mug Ceramic,Promotional,6,72.00,19.50,52.50,,Walk-in,in_store
2025-08-06,SKU001,Branded Pen - Black,Promotional,15,30.00,7.50,22.50,EVT002,Event,in_store
2025-08-06,SKU002,Small Shipping Box 10x8x6,Packaging,25,87.50,31.25,56.25,EVT002,Event,in_store
2025-08-06,SKU005,Coffee Mug Ceramic,Promotional,12,144.00,39.00,105.00,EVT002,Event,in_store
2025-08-07,SKU001,Branded Pen - Black,Promotional,3,6.00,1.50,4.50,,Walk-in,in_store
2025-08-07,SKU006,Shipping Labels 4x6 Roll,Labels,10,280.00,125.00,155.00,,Bulk,back_of_store
2025-08-08,SKU001,Branded Pen - Black,Promotional,7,14.00,3.50,10.50,,Walk-in,in_store
2025-08-08,SKU003,T-Shirt Large Logo,Apparel,1,25.00,8.00,17.00,,Walk-in,in_store
2025-08-09,SKU002,Small Shipping Box 10x8x6,Packaging,8,28.00,10.00,18.00,,Walk-in,in_store
2025-08-09,SKU004,Bubble Wrap Roll 12inch,Packaging,1,35.00,15.00,20.00,,Walk-in,in_store
2025-08-10,SKU001,Branded Pen - Black,Promotional,20,40.00,10.00,30.00,EVT003,Event,in_store
2025-08-10,SKU009,Notebook Leather,Promotional,15,270.00,112.50,157.50,EVT003,Event,in_store
2025-08-12,SKU007,Polo Shirt Medium,Apparel,4,180.00,72.00,108.00,,Walk-in,in_store
2025-08-12,SKU008,Packaging Tape 2inch,Packaging,12,78.00,27.00,51.00,,Bulk,back_of_store
2025-08-13,SKU005,Coffee Mug Ceramic,Promotional,18,216.00,58.50,157.50,,Walk-in,in_store
2025-08-14,SKU010,Priority Overnight Envelopes,Shipping,35,87.50,29.75,57.75,,Bulk,back_of_store
2025-08-15,SKU001,Branded Pen - Black,Promotional,25,50.00,12.50,37.50,,Walk-in,in_store
2025-08-15,SKU003,T-Shirt Large Logo,Apparel,6,150.00,48.00,102.00,,Walk-in,in_store
